date,open,high,low,close,volume
2024/9/6,3261.154,3274.814,3231.069,3231.346,884004.17
2024/9/9,3214.8,3222.928,3180.928,3192.952,1086730.69
2024/9/10,3193.456,3205.097,3171.793,3195.755,972900.78
2024/9/11,3187.051,3197.336,3174.034,3186.13,1024821.1
2024/9/12,3189.427,3201.554,3171.878,3172.475,928686.57
2024/9/13,3174.034,3188.915,3159.247,3159.247,883366.77
2024/9/18,3158.818,3179.901,3145.791,3171.01,847228.14
2024/9/19,3178.396,3213.838,3149.793,3196.036,1254392.72
2024/9/20,3192.432,3207.988,3173.224,3201.05,1180640.98
2024/9/23,3200.868,3230.161,3198.025,3212.764,953448.55
2024/9/24,3244.647,3351.968,3222.489,3351.909,2040722.17
2024/9/25,3403.702,3465.488,3393.438,3401.533,2415642.55
2024/9/26,3399.319,3545.325,3391.677,3545.32,2431340.1
2024/9/27,3617.92,3708.495,3596.583,3703.685,2654877.74
2024/9/30,3846.652,4038.697,3796.505,4017.855,5102177.07
2024/10/8,4450.368,4450.368,4094.352,4256.096,5898678.94
2024/10/9,4168.844,4197.6,3942.512,3955.984,4822692.95
2024/10/10,3979.612,4098.497,3912.771,3997.788,3950530.99
2024/10/11,3969.758,3978.239,3847.123,3887.167,2740965.05
2024/10/14,3915.219,3979.543,3868.779,3961.342,3075789.93
2024/10/15,3942.534,3967.871,3855.995,3855.995,2424864.48
2024/10/16,3806.137,3877.748,3805.087,3831.589,2188664.07
2024/10/17,3853.841,3882.073,3787.75,3788.222,2123138.2
2024/10/18,3780.314,3998.214,3765.162,3925.234,3129588.34
2024/10/21,3946.902,3979.264,3896.165,3935.197,2911856.34
2024/10/22,3923.744,3965.908,3917.522,3957.776,2234333.96
2024/10/23,3955.319,4012.18,3939.099,3973.209,2458739.49
2024/10/24,3950.899,3957.983,3914.089,3928.833,1747240.62
2024/10/25,3931.321,3992.892,3921.94,3956.421,2106948.85
2024/10/28,3953.106,3964.157,3917.204,3964.157,2161604.15
2024/10/29,3970.008,3991.309,3921.58,3924.649,2172939.84
2024/10/30,3904.16,3926.058,3864.305,3889.449,2194366.26
2024/10/31,3888.423,3923.9,3859.108,3891.04,3006367.18
2024/11/1,3882.458,3933.22,3879.959,3890.02,3079864.81
2024/11/4,3897.714,3944.762,3891.211,3944.762,2292390.6
2024/11/5,3937.623,4046.698,3925.414,4044.573,3168627.94
2024/11/6,4051.289,4091.703,4002.503,4024.283,3358079.38
2024/11/7,3987.267,4146.151,3984.665,4145.695,3414364.14
2024/11/8,4192.079,4200.908,4094.163,4104.047,3323503.85
2024/11/11,4066.934,4132.511,4048.039,4131.131,2895942.27
2024/11/12,4133.353,4181.71,4060.794,4085.743,2977780.86
2024/11/13,4059.59,4121.074,4059.59,4110.89,2404840.99
2024/11/14,4101.223,4118.169,4034.944,4039.619,2301527.84
2024/11/15,4025.648,4049.071,3968.831,3968.831,2473994.63
2024/11/18,3982.104,4034.06,3931.187,3950.381,3067779.46
2024/11/19,3954.604,3979.151,3896.749,3976.891,2429464.65
2024/11/20,3966.124,4001.085,3958.338,3985.773,1845993.72
2024/11/21,3979.455,3999.569,3966.066,3989.298,1661259.27
2024/11/22,3984.244,3990.265,3865.699,3865.699,2162858.09
2024/11/25,3875.613,3889.707,3812.318,3848.091,1907029.53
2024/11/26,3836.259,3875.229,3833.284,3840.185,1498924.41
2024/11/27,3829.344,3907.164,3817.913,3907.045,1741360.96
2024/11/28,3904.253,3908.392,3866.014,3872.551,1501172.91
2024/11/29,3869.89,3962.7,3869.89,3916.583,1876567.13
2024/12/2,3909.703,3955.125,3902.17,3947.632,1972897.84
2024/12/3,3946.703,3963.947,3922.843,3951.891,1824968.67
2024/12/4,3948.13,3957.365,3917.747,3930.557,1746263.18
2024/12/5,3916.564,3936.336,3910.083,3921.588,1385340.38
2024/12/6,3923.895,3995.117,3923.895,3973.141,1920579.07
2024/12/9,3970.663,3995.512,3948.421,3966.571,1759599.58
2024/12/10,4094.05,4098.38,3988.968,3995.637,2534637.95
2024/12/11,3988.018,4005.325,3977.352,3988.831,1772528.46
2024/12/12,3987.153,4031.744,3981.349,4028.505,1816217.77
2024/12/13,4000.985,4000.985,3931.739,3933.181,2303530.79
2024/12/16,3930.781,3938.76,3901.647,3911.842,1785112.51
2024/12/17,3908.126,3955.945,3908.126,3922.033,1609390.9
2024/12/18,3934.543,3956.144,3933.969,3941.89,1577383.21
2024/12/19,3911.89,3954.349,3899.748,3945.464,1610810.4
2024/12/20,3937.472,3958.634,3923.256,3927.744,1549864.96
2024/12/23,3928.149,3965.85,3928.149,3933.572,1900673.62
2024/12/24,3934.942,3985.859,3934.734,3983.688,1614945.89
2024/12/25,3987.956,4007.763,3969.477,3985.629,1593907.47
2024/12/26,3981.732,3991.533,3965.546,3987.48,1434252.86
2024/12/27,3987.019,4007.131,3970.937,3981.031,1692686.66
2024/12/30,3976.7,4005.778,3976.7,3999.055,1646124.85
2024/12/31,3995.871,4004.346,3934.911,3934.911,1839283.97
2025/1/2,3931.816,3934.203,3796.339,3820.395,2178987.24
2025/1/3,3825.243,3835.935,3767.665,3775.165,1753426.76
2025/1/6,3775.99,3788.849,3743.073,3768.97,1509466.7
2025/1/7,3760.866,3797.602,3749.058,3796.106,1464557.79
2025/1/8,3781.261,3810.736,3731.189,3789.215,1691669.68
2025/1/9,3780.734,3795.261,3768.681,3779.877,1297940.02
2025/1/10,3778.893,3786.807,3732.481,3732.481,1375231.71
2025/1/13,3704.444,3737.885,3704.107,3722.513,1364461.99
2025/1/14,3728.556,3826.64,3718.877,3820.54,1706646.57
2025/1/15,3810.035,3816.828,3790.166,3796.026,1414755.2
2025/1/16,3812.194,3842.947,3776.286,3800.384,1445058.71
2025/1/17,3788.373,3831.64,3780.213,3812.343,1266219.61
2025/1/20,3835.304,3858.668,3821.982,3829.676,1395812.77
2025/1/21,3850.356,3850.911,3817.121,3832.615,1412184.06
2025/1/22,3823.945,3823.945,3783.144,3797.017,1372550.62
2025/1/23,3829.046,3864.259,3801.853,3803.744,1805695.51
2025/1/24,3793.85,3847.6,3793.484,3832.864,1489717.22
2025/1/27,3836.958,3851.997,3817.08,3817.08,1466707.72
2025/2/5,3844.7,3844.7,3785.162,3795.085,1571683.08
2025/2/6,3789.609,3843.494,3788.32,3842.831,1672881.76
2025/2/7,3844.057,3919.35,3833.869,3892.703,2218577.07
2025/2/10,3898.102,3906.368,3878.831,3901.062,1889030.4
2025/2/11,3905.159,3905.159,3872.909,3883.135,1665749.09
2025/2/12,3875.96,3920.723,3867.354,3919.862,1642285.4
2025/2/13,3913.904,3939.198,3904.985,3905.14,1724858.74
2025/2/14,3900.827,3942.036,3900.827,3939.009,1729764.52
2025/2/17,3954.415,3955.896,3921.702,3947.398,2135882.46
2025/2/18,3942.576,3965.423,3901.868,3912.783,2094251.01
2025/2/19,3906.22,3943.674,3904.146,3940.16,1828295.17
2025/2/20,3934.65,3940.678,3916.177,3928.896,1638952.36
